127.0.0.1, 2017-08-06 18:39:17, GET, /, HTTP/1.1, 303, 0.002938
127.0.0.1, 2017-08-06 18:39:18, GET, /welcome/default/index, HTTP/1.1, 200, 0.672875
127.0.0.1, 2017-08-06 18:39:18, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000484
127.0.0.1, 2017-08-06 18:39:18, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.019094
127.0.0.1, 2017-08-06 18:39:18, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.019037
127.0.0.1, 2017-08-06 18:39:18, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.017674
127.0.0.1, 2017-08-06 18:39:18, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.021402
127.0.0.1, 2017-08-06 18:39:18, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.022324
127.0.0.1, 2017-08-06 18:39:18, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.007472
127.0.0.1, 2017-08-06 18:39:18, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.007478
127.0.0.1, 2017-08-06 18:39:18, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.009325
127.0.0.1, 2017-08-06 18:39:18, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.007821
127.0.0.1, 2017-08-06 18:39:18, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000616
127.0.0.1, 2017-08-06 18:39:18, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.000459
127.0.0.1, 2017-08-06 18:39:18, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000420
127.0.0.1, 2017-08-06 18:39:18, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.005348
127.0.0.1, 2017-08-06 18:39:18, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.006958
127.0.0.1, 2017-08-06 18:39:18, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.009631
127.0.0.1, 2017-08-06 18:40:06, GET, /examples/default/index, HTTP/1.1, 200, 0.010672
127.0.0.1, 2017-08-06 18:40:06, GET, /examples/static/css/calendar.css, HTTP/1.1, 200, 0.000454
127.0.0.1, 2017-08-06 18:40:06, GET, /examples/static/css/examples.css, HTTP/1.1, 200, 0.034843
127.0.0.1, 2017-08-06 18:40:06, GET, /examples/static/js/calendar.js, HTTP/1.1, 200, 0.033382
127.0.0.1, 2017-08-06 18:40:06, GET, /examples/static/css/web2py.css, HTTP/1.1, 200, 0.037175
127.0.0.1, 2017-08-06 18:40:06, GET, /examples/static/css/stupid.css, HTTP/1.1, 200, 0.037348
127.0.0.1, 2017-08-06 18:40:06, GET, /examples/static/js/jquery.js, HTTP/1.1, 200, 0.036261
127.0.0.1, 2017-08-06 18:40:06, GET, /examples/static/js/web2py.js, HTTP/1.1, 200, 0.003813
127.0.0.1, 2017-08-06 18:40:06, GET, /examples/static/images/favicon.ico, HTTP/1.1, 200, 0.003804
127.0.0.1, 2017-08-06 18:40:07, GET, /examples/static/images/videos.png, HTTP/1.1, 200, 0.001381
127.0.0.1, 2017-08-06 18:40:07, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 200, 0.001455
127.0.0.1, 2017-08-06 18:40:07, GET, /examples/static/images/book-5th.png, HTTP/1.1, 200, 0.001544
127.0.0.1, 2017-08-06 18:40:07, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 200, 0.002830
127.0.0.1, 2017-08-06 18:40:07, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 200, 0.004181
127.0.0.1, 2017-08-06 18:48:43, GET, /application/admin/static/index.html, HTTP/1.1, 404, 0.000476
127.0.0.1, 2017-08-06 18:48:44, GET, /favicon.ico, HTTP/1.1, 400, 0.000316
127.0.0.1, 2017-08-06 18:48:44, GET, /favicon.ico, HTTP/1.1, 400, 0.000282
127.0.0.1, 2017-08-06 18:48:57, GET, /applications/admin/static/index.html, HTTP/1.1, 404, 0.000381
127.0.0.1, 2017-08-06 18:49:38, GET, /applications/admin/static/index.html, HTTP/1.1, 404, 0.000364
127.0.0.1, 2017-08-06 18:49:45, GET, /applications/admin/static/index.html, HTTP/1.1, 404, 0.000415
127.0.0.1, 2017-08-06 18:50:11, GET, /, HTTP/1.1, 303, 0.002933
127.0.0.1, 2017-08-06 18:50:12, GET, /welcome/default/index, HTTP/1.1, 200, 0.144212
127.0.0.1, 2017-08-06 18:50:12, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000426
127.0.0.1, 2017-08-06 18:50:12, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.003790
127.0.0.1, 2017-08-06 18:50:12, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001584
127.0.0.1, 2017-08-06 18:50:12, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.002416
127.0.0.1, 2017-08-06 18:50:12, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.001845
127.0.0.1, 2017-08-06 18:50:12, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.000744
127.0.0.1, 2017-08-06 18:50:12, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.001653
127.0.0.1, 2017-08-06 18:50:12, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000614
127.0.0.1, 2017-08-06 18:50:12, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.001031
127.0.0.1, 2017-08-06 18:50:12, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.001386
127.0.0.1, 2017-08-06 18:50:12, GET, /welcome/static/images/background.jpg, HTTP/1.1, 304, 0.000839
127.0.0.1, 2017-08-06 18:50:12, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.000683
127.0.0.1, 2017-08-06 18:50:12, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.000699
127.0.0.1, 2017-08-06 18:50:12, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.002208
127.0.0.1, 2017-08-06 18:50:12, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.001391
127.0.0.1, 2017-08-06 18:50:16, GET, /applications/admin/static/index.html, HTTP/1.1, 404, 0.000415
127.0.0.1, 2017-08-06 18:56:30, GET, /, HTTP/1.1, 303, 0.003680
127.0.0.1, 2017-08-06 18:56:30, GET, /welcome/default/index, HTTP/1.1, 200, 0.145951
127.0.0.1, 2017-08-06 18:56:30, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000526
127.0.0.1, 2017-08-06 18:56:30, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000425
127.0.0.1, 2017-08-06 18:56:30, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000418
127.0.0.1, 2017-08-06 18:56:30, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000548
127.0.0.1, 2017-08-06 18:56:30, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.000317
127.0.0.1, 2017-08-06 18:56:30, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.000477
127.0.0.1, 2017-08-06 18:56:30, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.000310
127.0.0.1, 2017-08-06 18:56:30, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000410
127.0.0.1, 2017-08-06 18:56:30, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000399
127.0.0.1, 2017-08-06 18:56:30, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000379
127.0.0.1, 2017-08-06 18:56:31, GET, /welcome/static/images/background.jpg, HTTP/1.1, 304, 0.000461
127.0.0.1, 2017-08-06 18:56:31, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.000427
127.0.0.1, 2017-08-06 18:56:31, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.000403
